% f evaluations | g evaluations | best noise-free fitness - Fopt (-4.620900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.060335462e+04 +1.014126462e+04 +1.014126462e+04 +1.4913e+00 +6.1486e-01 +4.6540e+00 -4.8089e+00 -2.5686e+00 -6.4911e-01 -2.8457e+00 -3.8899e+00 +1.6518e+00 +4.6283e+00 -2.7590e+00 +3.8748e+00 -1.9250e+00 -3.4201e+00 +2.6882e+00 -1.5464e+00 +3.7386e+00 -1.2493e+00 +7.7429e-01 +3.6126e+00
2 0 +3.569294905e+03 +3.107204905e+03 +3.107204905e+03 -1.6096e-02 +3.7386e+00 -2.7483e+00 +3.1205e+00 -9.4738e-02 -4.7163e+00 -3.9238e+00 -3.9240e+00 -4.0558e+00 +2.7750e+00 -2.5211e+00 -2.1230e+00 +4.0665e-01 -4.7963e+00 +3.3981e+00 +6.6039e-01 -2.1386e+00 +3.7539e+00 +3.2340e+00 -4.0447e+00
3 0 +1.159688839e+03 +6.975988392e+02 +6.975988392e+02 -2.5400e+00 -1.3512e+00 -4.3408e+00 +2.0060e-01 -1.4360e+00 +3.3032e+00 +3.9964e-01 -2.4980e+00 -2.6159e-01 +2.6519e+00 -4.2169e+00 -4.9714e+00 -2.4476e+00 -1.2818e+00 -1.1194e+00 -1.6712e+00 -2.9761e+00 +3.9278e+00 -3.6198e+00 -1.0163e+00
5 0 +1.140245501e+03 +6.781555005e+02 +6.781555005e+02 +1.9236e+00 -2.7073e+00 -3.9698e+00 +3.1099e+00 +9.7435e-01 +3.1010e+00 -4.2364e+00 +2.8804e+00 -4.0651e+00 +1.1031e+00 -2.7052e+00 -3.9747e+00 -4.8654e+00 -3.9530e+00 +8.2282e-01 -2.4205e+00 -9.0782e-01 -2.2658e+00 -1.6809e+00 +4.2882e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (7.766000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.778728513e+03 +1.856388513e+03 +1.856388513e+03 -2.7258e+00 +4.0428e+00 +2.4708e+00 +1.5899e+00 -1.0380e+00 -2.6522e-01 +1.4684e+00 +6.8667e-01 -2.0843e+00 +3.7441e-01 -2.4799e+00 -1.7694e+00 -3.5604e+00 +2.4782e-01 +3.8273e+00 -2.5777e+00 +4.3440e-01 +1.3056e+00 +6.4329e-02 -1.9279e+00
4 0 +1.369983353e+03 +1.447643353e+03 +1.447643353e+03 -1.0436e+00 +4.5773e+00 -1.0317e+00 -2.7265e+00 +3.3729e+00 +8.8547e-01 +6.4994e-01 -8.3060e-01 +1.3311e+00 -9.6329e-01 -4.7196e-01 -1.7363e+00 +8.9063e-01 +2.2626e-01 +2.6178e-01 -1.6773e+00 +1.7370e-01 +7.0373e-01 -1.7223e-02 -3.0170e+00
25 0 +1.291248251e+03 +1.368908251e+03 +1.368908251e+03 +7.1234e-01 +5.6863e-01 -4.5228e+00 +2.9924e+00 +1.5119e-01 -1.0684e+00 -5.1414e-02 +6.7486e-01 -4.0420e+00 +1.0781e+00 -3.0160e+00 +2.1591e+00 -6.6485e-01 -1.3149e+00 -4.2920e+00 -7.5805e-01 -3.0718e+00 +4.2800e+00 +1.9206e+00 -2.4648e+00
214 0 +1.208498670e+03 +1.286158670e+03 +1.286158670e+03 -4.9843e-01 -1.9651e+00 -1.4451e+00 -2.6046e+00 +1.8876e+00 +3.3189e-01 +4.9642e-01 +1.0179e+00 +1.5088e+00 +7.3604e-01 +5.7931e-01 +2.1371e+00 +5.5150e-01 -1.2884e+00 -1.9208e+00 +1.2783e+00 -6.5693e-01 -3.3672e-01 -1.1440e+00 -2.0501e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.156800000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +5.799451492e+03 +5.915131492e+03 +5.915131492e+03 +9.3182e-01 -1.5643e+00 -2.3604e+00 -4.3788e+00 -4.3528e+00 +4.3771e+00 -2.5930e+00 -4.7257e+00 -1.1764e+00 +3.3279e+00 -2.7863e-01 +4.3137e+00 -4.4768e+00 +3.1006e+00 +4.6093e+00 +4.3299e+00 -9.2682e-01 -1.6697e-01 -2.6877e+00 -1.2551e+00
2 0 +9.721271066e+02 +1.087807107e+03 +1.087807107e+03 +2.1216e+00 -5.8139e-02 -2.5266e+00 -2.1630e+00 +1.0337e+00 +4.3396e+00 +2.1014e+00 -2.0679e+00 +4.6068e+00 -2.9641e+00 +3.2116e+00 +3.0191e+00 +2.9150e-01 -3.9220e+00 +2.1906e+00 +4.5040e+00 -8.3761e-01 +1.9582e+00 +2.9410e+00 -1.7802e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-3.710000000000e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +9.386315524e+03 +9.382605524e+03 +9.382605524e+03 -1.4587e+00 +1.7502e+00 -8.9086e-01 +3.8268e+00 -9.0216e-01 +2.0405e+00 -1.8401e+00 +1.2786e+00 -4.9656e+00 -1.8417e+00 -4.4250e+00 -4.6593e+00 -1.2379e+00 +2.6349e+00 +4.2997e+00 +2.5099e+00 -3.0247e-01 +2.7745e+00 -4.1950e+00 -4.4143e+00
